                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.11325,                0.16035,               0.026164,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.064965,               0.089844,                0.02615,                      0,                 0.0955,                 0.0005,                 0.0005
                      1,               0.093602,                0.11719,               0.024767,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.064173,               0.075391,               0.024879,                      0,               0.090089,              0.0010891,              0.0010891
                      2,                0.11588,                0.17161,               0.024159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.063136,               0.069968,               0.024605,                      0,               0.084666,              0.0016663,              0.0016663
                      3,                0.10127,                0.12897,               0.023113,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.063136,               0.069968,               0.024605,                      0,               0.079232,              0.0022317,              0.0022317
                      4,               0.097628,               0.099993,               0.025205,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.061934,               0.066201,               0.023843,                      0,               0.073785,              0.0027852,              0.0027852
                      5,                0.09978,                0.11489,               0.027693,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.061934,               0.066201,               0.023843,                      0,               0.068327,              0.0033267,              0.0033267
                      6,                0.10314,                0.10875,               0.029628,                      0,              0.0033333,                      1,              0.0036182,             0.00036182,              0.0033333,                      1,              0.0078968,             0.00078968,               0.060473,               0.061133,               0.024164,                      0,               0.062856,              0.0038565,              0.0038565
                      7,               0.086731,                0.10141,               0.026068,                      0,              0.0033333,                      1,              0.0036182,             0.00036182,              0.0033333,                      1,              0.0078968,             0.00078968,               0.060473,               0.061133,               0.024164,                      0,               0.057374,              0.0043743,              0.0043743
                      8,               0.089858,               0.083194,               0.026411,                      0,              0.0033333,                      1,                0.02163,              0.0047306,              0.0033333,                      1,               0.010153,              0.0010153,               0.056694,               0.065263,               0.025173,                      0,                0.05188,              0.0048802,              0.0048802
                      9,               0.093509,               0.092967,               0.025046,                      0,              0.0033333,                      1,                0.02163,              0.0047306,              0.0033333,                      1,               0.010153,              0.0010153,               0.056694,               0.065263,               0.025173,                      0,               0.046374,              0.0053743,              0.0053743
                     10,               0.092655,                 0.0879,               0.031551,                      0,              0.0033333,                      1,                0.02163,              0.0047306,              0.0033333,                      1,               0.010153,              0.0010153,               0.056694,               0.065263,               0.025173,                      0,               0.040857,              0.0058565,              0.0058565
                     11,               0.097075,               0.090381,               0.027128,                      0,              0.0033333,                      1,                0.02163,              0.0047306,              0.0033333,                      1,               0.010153,              0.0010153,               0.056694,               0.065263,               0.025173,                      0,               0.035327,              0.0063268,              0.0063268
                     12,                0.10391,                0.10091,               0.030083,                      0,              0.0033333,                      1,                0.02163,              0.0047306,              0.0033333,                      1,               0.010153,              0.0010153,               0.056694,               0.065263,               0.025173,                      0,               0.029785,              0.0067852,              0.0067852
                     13,                 0.1001,                 0.1006,               0.030726,                      0,              0.0033333,                      1,               0.016311,               0.005146,              0.0033333,                      1,              0.0076538,              0.0030615,               0.051103,                0.06512,                0.02712,                      0,               0.024232,              0.0072318,              0.0072318
                     14,               0.085307,               0.080122,               0.029829,                      0,              0.0033333,                      1,               0.016311,               0.005146,              0.0033333,                      1,              0.0076538,              0.0030615,               0.051103,                0.06512,                0.02712,                      0,               0.018666,              0.0076665,              0.0076665
                     15,               0.078156,                0.07156,               0.028061,                      0,              0.0033333,                      1,               0.016311,               0.005146,              0.0033333,                      1,              0.0076538,              0.0030615,               0.051103,                0.06512,                0.02712,                      0,               0.013089,              0.0080892,              0.0080892
                     16,               0.080328,               0.069189,               0.024977,                      0,              0.0033333,                      1,               0.016311,               0.005146,              0.0033333,                      1,              0.0076538,              0.0030615,               0.051103,                0.06512,                0.02712,                      0,               0.008416,               0.008416,               0.008416
                     17,               0.093181,               0.093042,               0.024744,                      0,              0.0033333,                      1,               0.016311,               0.005146,              0.0033333,                      1,              0.0076538,              0.0030615,               0.051103,                0.06512,                0.02712,                      0,               0.008416,               0.008416,               0.008416
                     18,               0.085251,               0.088315,               0.030916,                      0,              0.0033333,                      1,               0.055278,               0.017117,              0.0033333,                      1,               0.015076,              0.0030152,               0.044254,               0.060031,               0.028009,                      0,               0.008317,               0.008317,               0.008317
                     19,               0.091183,               0.084153,               0.027523,                      0,              0.0033333,                      1,               0.055278,               0.017117,              0.0033333,                      1,               0.015076,              0.0030152,               0.044254,               0.060031,               0.028009,                      0,               0.008218,               0.008218,               0.008218
                     20,               0.080471,               0.077167,               0.031399,                      0,              0.0033333,                      1,               0.055278,               0.017117,              0.0033333,                      1,               0.015076,              0.0030152,               0.044254,               0.060031,               0.028009,                      0,               0.008119,               0.008119,               0.008119
